公司代號,年度,公司簡稱,產業類別,今年ROA,去年ROA,營業現金流,稅後淨利,今年非流動負債,去年非流動負債,今年流動比率,去年流動比率,今年毛利率,去年毛利率,今年資產周轉率,去年資產周轉率,皮氏分數
1217,2019,愛之味,食品工業,1.34,1.42,21314325.76,152408.0,3110672.0,2932952.0,65.06,59.51,0.321,0.529,0.35,0.34,5
1218,2019,泰山,食品工業,6.63,6.07,36121096.86,856307.0,925956.0,387658.0,209.73,164.22,0.186,0.312,0.89,0.97,5
1219,2019,福壽,食品工業,2.16,-0.66,-11168130.239999998,41492.0,2280664.0,2366920.0,164.58,170.13,0.084,0.12,1.4,1.38,4
1220,2019,台榮,食品工業,4.6,3.83,18837865.92,150890.0,198495.0,209472.0,409.82,419.48,0.134,0.204,0.95,0.9,6
1225,2019,福懋油,食品工業,5.98,4.78,41166481.92,539035.0,1570132.0,1037258.0,180.1,225.08,0.094,0.148,1.5,1.67,4
1227,2019,佳格,食品工業,14.11,12.99,502638690.69000006,4679675.0,855491.0,446397.0,240.99,227.76,0.31,0.479,1.26,1.17,6
1229,2019,聯華,食品工業,8.3,8.33,282167314.03999996,5012448.0,1282420.0,1182886.0,94.72,57.13,0.213,0.197,0.18,0.17,6
1231,2019,聯華食,食品工業,7.58,8.4,25056052.9,623316.0,1061564.0,1228339.0,145.96,160.03,0.206,0.341,1.19,1.2,4
1232,2019,大統益,食品工業,17.87,17.05,112254297.6,1584138.0,229424.0,67716.0,337.41,327.27,0.123,0.179,3.04,3.1,5
1233,2019,天仁,食品工業,6.94,8.28,31345022.8,254920.0,338410.0,107210.0,147.38,184.43,0.581,0.946,0.96,1.03,3
1234,2019,黑松,食品工業,3.77,3.11,122215751.07,1171926.0,2400869.0,2390462.0,316.44,255.14,0.248,0.425,0.4,0.39,6
1235,2019,興泰,食品工業,1.32,2.05,4171731.2,-37376.0,54404.0,54621.0,204.1,290.93,0.418,0.805,0.01,0.01,4
1236,2019,宏亞,食品工業,0.71,0.61,14070389.23,-67404.0,489482.0,396049.0,144.97,131.87,0.244,0.479,0.67,0.69,5
1256,2019,鮮活果汁-KY,食品工業,19.34,18.21,72141741.60000001,829515.0,173942.0,155452.0,153.43,190.38,0.381,0.545,1.22,1.31,4
1301,2019,台塑,塑膠工業,7.69,10.38,4657913830.26,60811331.0,58651261.0,62894125.0,196.7,221.87,0.166,0.301,0.42,0.47,4
1303,2019,南亞,塑膠工業,4.36,9.71,5229781313.0,34728491.0,115591829.0,101552805.0,224.48,257.09,0.093,0.305,0.51,0.6,3
1304,2019,台聚,塑膠工業,3.96,3.12,607208398.9200001,3728360.0,19614457.0,17884545.0,221.78,205.43,0.114,0.195,0.79,0.91,5
1305,2019,華夏,塑膠工業,5.54,10.54,201648977.04,856280.0,1923568.0,2305293.0,287.7,299.57,0.116,0.349,1.18,1.17,5
1307,2019,三芳,塑膠工業,3.13,2.29,134537977.2,645079.0,3025846.0,2593317.0,216.76,209.75,0.216,0.317,0.69,0.66,6
1308,2019,亞聚,塑膠工業,5.33,2.09,49865827.32,1024512.0,4223443.0,3389652.0,200.03,176.93,0.125,0.068,0.42,0.42,6
1309,2019,台達化,塑膠工業,5.25,2.88,160283335.96,816176.0,1426284.0,1418879.0,210.71,162.56,0.076,0.122,2.11,2.47,5
1310,2019,台苯,塑膠工業,8.97,11.21,94776339.06,1805674.0,266028.0,399269.0,178.02,172.55,0.146,0.296,1.23,1.44,5
1312,2019,國喬,塑膠工業,7.11,10.9,305685232.49,3779933.0,1734877.0,1361874.0,461.53,377.19,0.146,0.347,0.67,0.86,4
1313,2019,聯成,塑膠工業,0.39,2.42,438766114.21999997,-740391.0,13943367.0,15466775.0,175.57,196.24,0.023,0.095,1.37,1.34,5
1314,2019,中石化,塑膠工業,1.98,5.07,-840321644.6899999,2389047.0,20533113.0,15026145.0,274.4,288.76,0.067,0.276,0.32,0.45,1
1315,2019,達新,塑膠工業,7.1,2.44,29133654.799999997,1243639.0,259874.0,867438.0,531.58,304.34,0.173,0.263,0.25,0.26,6
1316,2019,上曜,建材營造,-0.77,4.65,-248462753.19,-177782.0,31727.0,794962.0,142.03,240.32,0.112,2.057,0.11,0.29,1
1319,2019,東陽,汽車工業,5.37,5.53,522722045.08000004,2819588.0,6748879.0,7913498.0,115.97,120.74,0.247,0.423,0.58,0.61,4
1321,2019,大洋,塑膠工業,1.21,-0.43,36500510.35,164455.0,5179211.0,5203710.0,173.76,166.54,0.05,0.075,0.4,0.41,6
1323,2019,永裕,塑膠工業,7.82,9.09,74073629.58,495703.0,2067962.0,1321019.0,407.87,380.57,0.227,0.417,0.78,0.89,4
1324,2019,地球,塑膠工業,0.26,0.09,1081442.23,-5019.0,29735.0,33938.0,354.0,307.65,0.161,0.26,0.9,0.84,7
1325,2019,恆大,塑膠工業,1.83,3.15,10084813.52,59582.0,63558.0,64365.0,1880.99,1746.96,0.104,0.21,0.41,0.48,5
1326,2019,台化,塑膠工業,6.29,9.84,5735072273.579999,56424834.0,54125385.0,51942817.0,259.58,240.04,0.12,0.28,0.57,0.69,4
1337,2019,再生-KY,塑膠工業,-7.67,-19.06,-34073524.800000004,-1104302.0,61321.0,63598.0,607.08,713.27,-0.275,-0.536,0.16,0.15,4
1338,2019,廣華-KY,汽車工業,4.41,5.34,113540485.59,536135.0,378645.0,419992.0,195.58,218.96,0.256,0.462,0.74,0.81,4
1339,2019,昭輝,汽車工業,6.79,4.92,64399345.92,719266.0,644902.0,1148117.0,174.56,144.46,0.284,0.481,0.45,0.44,7
1340,2019,勝悅-KY,塑膠工業,-6.79,1.95,-19443332.02,-360818.0,36135.0,5235.0,1846.7,2239.36,-0.115,0.612,0.19,0.31,0
1341,2019,富林-KY,塑膠工業,13.48,8.86,30328333.200000003,362746.0,245359.0,249663.0,177.52,151.19,0.203,0.198,1.36,1.55,7
1342,2019,八貫,其他,13.11,13.12,35902451.199999996,86696.0,134709.0,95124.0,189.99,172.97,0.251,0.502,1.02,1.05,4
1402,2019,遠東新,紡織纖維,3.44,3.9,4394548218.56,24929845.0,189838322.0,168979880.0,103.59,100.24,0.182,0.298,0.43,0.4,5
1409,2019,新纖,紡織纖維,1.97,2.43,476889200.34,3399270.0,12319271.0,9707662.0,92.91,89.98,0.0,0.0,0.22,0.27,4
1410,2019,南染,紡織纖維,4.58,7.3,9540705.53,104865.0,171982.0,175059.0,1095.47,836.33,0.354,0.835,0.27,0.33,5
1413,2019,宏洲,紡織纖維,2.98,10.7,594468.0,194875.0,702522.0,411655.0,93.35,111.74,0.062,0.147,1.07,1.55,3
1414,2019,東和,紡織纖維,0.99,0.97,0.0,-43544.0,701719.0,705872.0,150.93,130.48,0.019,0.181,0.17,0.22,5
1416,2019,廣豐,其他,-1.28,3.74,-9376996.73,-19689.0,2317407.0,2876291.0,115.4,251.96,0.901,1.374,0.04,0.03,2
1417,2019,嘉裕,紡織纖維,7.44,-5.28,0.0,-143217.0,118684.0,130410.0,254.52,278.99,0.239,0.282,0.32,0.34,4
1418,2019,東華,紡織纖維,-7.27,-8.98,-26777090.34,-290512.0,1529002.0,1757774.0,142.62,586.98,-0.341,-0.588,0.08,0.24,3
1419,2019,新紡,紡織纖維,3.19,2.29,14480234.559999999,374414.0,1187807.0,878198.0,81.0,72.34,0.277,0.332,0.17,0.12,6
1423,2019,利華,紡織纖維,-1.39,3.75,-8985027.0,-17025.0,199138.0,199057.0,5518.2,4043.8,-0.028,0.241,0.17,0.27,1
1432,2019,大魯閣,貿易百貨,-14.15,-7.2,28866660.48,-385313.0,3593936.0,76755.0,91.57,150.56,0.839,0.976,0.28,0.36,2
1434,2019,福懋,紡織纖維,5.53,5.85,675142072.5,7306099.0,8055223.0,8866573.0,206.45,258.63,0.123,0.192,0.42,0.47,4
1435,2019,中福,其他,1.94,-1.14,-319585.65,37410.0,165889.0,166075.0,11882.1,14150.06,0.939,2.323,0.02,0.03,3
1436,2019,華友聯,建材營造,3.47,5.48,-118025328.24000001,138310.0,3247537.0,2638447.0,191.74,191.61,0.267,0.892,0.24,0.35,2
1437,2019,勤益控,其他,8.81,2.94,27688048.08,1737928.0,4187334.0,4358956.0,536.67,799.21,0.732,1.133,0.05,0.05,5
1438,2019,三地開發,建材營造,-1.78,-1.98,-1067698.4000000001,-8062.0,68800.0,68800.0,71149.48,43344.07,-5.333,-7.333,0.0,0.0,3
1439,2019,中和,紡織纖維,39.85,-3.38,0.0,1827141.0,3174.0,3441.0,13744.8,1294.23,0.01,0.084,0.06,0.12,4
1440,2019,南紡,紡織纖維,0.59,2.8,234681392.26,251885.0,8363026.0,7838287.0,94.78,108.52,0.058,0.221,0.51,0.57,3
1441,2019,大東,紡織纖維,-10.89,31.99,-24206257.619999997,-488407.0,299138.0,121508.0,72.73,81.65,-0.061,-0.008,0.53,0.55,0
1442,2019,名軒,建材營造,0.89,1.15,-198136721.62,67426.0,4955222.0,1879679.0,594.71,285.44,0.106,1.009,0.06,0.09,2
1443,2019,立益,紡織纖維,1.93,-11.38,0.0,27650.0,449873.0,555668.0,16.35,20.36,0.258,-0.01,0.13,0.22,4
1444,2019,力麗,紡織纖維,0.05,2.32,110211166.42,828810.0,2178896.0,2709827.0,120.14,138.97,0.078,0.13,0.64,0.68,4
1445,2019,大宇,紡織纖維,-1.94,-1.11,11085018.360000001,-41143.0,165271.0,164791.0,509.35,494.01,0.057,0.089,0.68,0.74,3
1446,2019,宏和,紡織纖維,0.04,-0.68,0.0,-60748.0,589451.0,1620562.0,173.66,584.71,0.114,0.072,0.13,0.12,6
1447,2019,力鵬,紡織纖維,-1.05,1.28,46914426.230000004,455217.0,1512635.0,2603591.0,123.68,150.93,0.038,0.076,0.79,0.89,3
1449,2019,佳和,紡織纖維,-3.88,0.21,-8162819.85,-10601.0,1973486.0,2784047.0,39.25,70.89,0.104,0.061,0.4,0.41,2
1451,2019,年興,紡織纖維,-0.68,3.97,-1169971.82,-11203.0,564471.0,645631.0,362.9,346.91,0.056,0.152,0.88,0.84,3
1452,2019,宏益,紡織纖維,6.42,7.11,13058600.040000001,275193.0,55039.0,52278.0,1198.86,809.97,0.161,0.269,0.7,0.78,4
1453,2019,大將,紡織纖維,-3.42,24.81,1565026.9700000002,16867.0,100.0,60.0,2860.01,5937.96,0.524,-1.622,0.03,0.02,4
1454,2019,台富,紡織纖維,1.79,1.04,128324.99999999999,77842.0,77827.0,79274.0,254.11,265.99,0.109,0.136,0.93,0.91,6
1455,2019,集盛,紡織纖維,-2.74,0.89,174942267.6,-85031.0,365833.0,291775.0,167.45,156.11,0.014,0.088,1.12,1.34,3
1456,2019,怡華,紡織纖維,1.46,1.36,56296.74,-8500.0,2013423.0,2063754.0,167.9,167.77,0.148,0.202,0.21,0.1,7
1457,2019,宜進,紡織纖維,3.96,5.36,5883337.84,1424220.0,6937805.0,6670543.0,102.87,96.9,0.117,0.221,0.23,0.38,4
1459,2019,聯發,紡織纖維,-0.55,-4.39,53272930.620000005,-30432.0,1245614.0,1367097.0,139.82,127.22,-0.001,0.024,0.47,0.48,5
1460,2019,宏遠,紡織纖維,-1.37,1.85,3173343.9,-27013.0,3108539.0,1128617.0,114.36,97.97,0.181,0.32,0.68,0.77,3
1463,2019,強盛,紡織纖維,4.61,9.35,27093933.209999997,239588.0,115581.0,99337.0,999.43,899.48,0.239,1.199,0.22,0.36,4
1464,2019,得力,紡織纖維,4.43,2.41,60412031.16,859191.0,3578776.0,1364301.0,120.12,87.75,0.18,0.232,0.62,0.6,6
1465,2019,偉全,紡織纖維,-12.29,1.01,513052.86000000004,2999893.0,164359.0,20418.0,891.47,525.14,0.102,0.26,0.31,0.29,3
1466,2019,聚隆,紡織纖維,-2.2,-2.29,6336640.5600000005,15580.0,1191526.0,889750.0,207.27,141.36,0.08,0.075,0.93,1.12,5
1467,2019,南緯,紡織纖維,-1.3,0.4,13195625.959999999,-90159.0,1689587.0,1523799.0,138.16,138.57,0.177,0.296,0.99,1.04,2
1468,2019,昶和,紡織纖維,2.9,2.56,12311300.16,111532.0,694986.0,803902.0,188.66,231.53,0.188,0.245,0.39,0.37,6
1470,2019,大統新創,紡織纖維,6.6,4.33,9518725.26,127216.0,10286.0,6105.0,399.66,357.81,0.267,0.321,0.71,0.67,6
1471,2019,首利,電子零組件業,-23.62,-16.18,-16040734.649999999,-561437.0,36561.0,6851.0,97.48,112.02,-0.08,-0.138,0.63,0.66,1
1472,2019,三洋紡,紡織纖維,5.47,-6.85,-23733959.52,169885.0,322462.0,33774.0,123.12,61.03,-0.059,-0.048,0.39,0.67,3
1473,2019,台南,紡織纖維,1.91,1.9,38518599.300000004,262729.0,227041.0,184238.0,175.13,165.66,0.151,0.213,1.28,1.35,5
1474,2019,弘裕,紡織纖維,1.43,3.09,15224345.28,-36380.0,371473.0,144186.0,157.89,132.33,0.084,0.21,0.93,0.93,4
1475,2019,業旺,紡織纖維,20.81,-38.74,-3099496.6,-20862.0,2875.0,4650.0,107.08,129.66,-0.176,-1.4,0.73,0.42,5
1476,2019,儒鴻,紡織纖維,19.19,20.93,586774307.4,6035342.0,88842.0,15464.0,237.89,219.34,0.286,0.481,1.24,1.31,4
1477,2019,聚陽,紡織纖維,14.03,11.96,169084924.17000002,2859905.0,402130.0,256175.0,177.31,181.91,0.207,0.279,1.9,1.82,5
1503,2019,士電,電機機械,4.4,3.91,141066605.6,2805067.0,3666763.0,3587146.0,132.48,128.18,0.188,0.304,0.64,0.65,5
1504,2019,東元,電機機械,3.9,3.97,592782657.46,5557747.0,17095788.0,15348991.0,216.55,241.22,0.249,0.42,0.5,0.54,3
1506,2019,正道,電機機械,-11.87,-3.8,1603086.24,-311808.0,642201.0,618301.0,87.75,117.44,0.103,0.137,0.41,0.41,2
1507,2019,永大,電機機械,4.53,3.21,75874871.42999999,1155901.0,626216.0,729047.0,149.71,147.15,0.239,0.46,0.63,0.65,6
1512,2019,瑞利,汽車工業,-14.41,-4.49,6544670.300000001,-192845.0,936725.0,1041358.0,92.72,103.07,0.061,0.182,0.65,0.89,3
1513,2019,中興電,電機機械,3.67,3.56,166659985.79999998,907537.0,4676243.0,1040128.0,145.87,119.86,0.158,0.288,0.67,0.73,5
1514,2019,亞力,電機機械,5.32,4.04,0.0,437694.0,280100.0,290702.0,154.56,148.31,0.178,0.227,0.84,0.79,5
1515,2019,力山,電機機械,18.58,6.41,156357520.01999998,2835170.0,101947.0,362585.0,122.52,109.08,0.187,0.205,1.14,0.92,7
1516,2019,川飛,其他,3.11,4.26,8678359.5,13309.0,20.0,71.0,501.95,1377.3,0.035,0.094,1.57,2.33,4
1517,2019,利奇,電機機械,0.35,1.28,7039066.319999999,51761.0,424386.0,513951.0,346.69,347.41,0.113,0.145,0.66,0.64,5
1519,2019,華城,電機機械,5.73,1.11,69590775.60000001,450291.0,1138090.0,1047435.0,153.25,185.52,0.159,0.136,0.84,0.88,5
1521,2019,大億,汽車工業,10.21,8.84,38924262.0,654624.0,238352.0,257526.0,146.34,148.89,0.19,0.262,1.52,1.58,5
1522,2019,堤維西,汽車工業,3.73,3.43,186483775.41,1293507.0,9427566.0,7169480.0,123.25,116.71,0.234,0.347,0.78,0.8,5
1524,2019,耿鼎,汽車工業,3.33,4.24,37514776.48,237218.0,1178183.0,1327141.0,96.89,108.32,0.204,0.356,0.47,0.49,4
1525,2019,江申,汽車工業,5.82,9.3,-7825590.790000001,423998.0,339243.0,178573.0,175.83,122.02,0.105,0.163,0.25,0.27,2
1526,2019,日馳,電機機械,5.0,7.34,15955983.32,113384.0,214238.0,234708.0,247.89,222.84,0.237,0.488,0.67,0.65,6
1527,2019,鑽全,電機機械,6.53,7.76,108398392.83000001,1377602.0,36195.0,458074.0,505.68,125.04,0.289,0.514,0.36,0.26,6
1528,2019,恩德,電機機械,-4.51,1.23,49212771.300000004,-218690.0,344558.0,492366.0,150.62,159.75,0.266,0.581,0.77,0.85,3
1529,2019,樂士,電機機械,2.75,5.39,-15910551.6,7582.0,299001.0,38989.0,170.48,230.21,0.115,0.318,0.42,0.44,1
1530,2019,亞崴,電機機械,1.85,4.66,81148122.2,298543.0,357185.0,388615.0,115.39,117.45,0.211,0.453,0.47,0.63,4
1531,2019,高林股,電機機械,0.68,2.93,46190236.769999996,121306.0,377000.0,287901.0,802.77,515.78,0.168,0.386,0.48,0.57,4
1532,2019,勤美,電機機械,2.17,6.71,-40557170.059999995,1229731.0,11155109.0,9012609.0,169.46,198.56,0.24,0.509,0.32,0.48,1
1533,2019,車王電,汽車工業,5.41,4.73,33989769.18,243015.0,1129208.0,306036.0,169.73,155.6,0.334,0.537,0.51,0.61,5
1535,2019,中宇,電機機械,1.84,1.31,98426772.48,158475.0,431792.0,520294.0,169.15,149.13,0.052,0.093,1.51,1.34,7
1536,2019,和大,汽車工業,4.43,8.66,31193350.720000003,1145375.0,5687236.0,4401403.0,106.19,129.37,0.283,0.638,0.36,0.48,3
1537,2019,廣隆,電機機械,17.96,17.84,166656088.17,1537660.0,392266.0,362120.0,422.62,296.4,0.229,0.371,1.41,1.53,5
1538,2019,正峰,電機機械,-12.29,-6.55,-1016436.2000000001,-163834.0,388702.0,430982.0,179.68,75.35,0.119,0.28,0.33,0.32,3
1539,2019,巨庭,電機機械,2.55,11.25,-14598408.000000002,197660.0,383913.0,292795.0,141.34,154.66,0.111,0.19,0.68,0.82,1
1540,2019,喬福,電機機械,6.5,7.8,11809098.98,308998.0,15754.0,15729.0,626.49,340.04,0.324,0.353,0.37,0.36,5
1541,2019,錩泰,電機機械,8.77,2.96,41709374.699999996,340230.0,277176.0,86962.0,136.81,123.2,0.174,0.18,1.42,1.26,6
1558,2019,伸興,電機機械,10.43,13.98,76938022.69,947620.0,342608.0,392198.0,325.06,309.99,0.244,0.467,0.9,0.98,5
1560,2019,中砂,電機機械,7.49,11.79,99741930.0,767314.0,1618358.0,430330.0,177.74,180.37,0.276,0.52,0.67,0.86,3
1568,2019,倉佑,汽車工業,1.16,3.14,27020449.26,87470.0,878287.0,987847.0,174.98,176.34,0.123,0.336,0.58,0.68,4
1582,2019,信錦,電子零組件業,10.38,10.49,112646500.75,1292830.0,519442.0,239978.0,202.08,275.78,0.251,0.38,0.86,1.05,3
1583,2019,程泰,電機機械,2.75,5.6,186948014.76,718727.0,1280627.0,1279269.0,139.25,131.79,0.258,0.546,0.44,0.57,4
1587,2019,吉茂,汽車工業,0.72,2.06,18159733.57,13682.0,272113.0,343848.0,127.9,141.83,0.229,0.322,0.59,0.58,5
1589,2019,永冠-KY,電機機械,2.21,-1.06,-32520474.0,-200980.0,2601750.0,2678315.0,219.02,218.55,0.154,0.176,0.56,0.43,5
1590,2019,亞德客-KY,電機機械,7.87,9.4,514771542.36,4041779.0,5329215.0,3996852.0,101.86,100.51,0.464,0.84,0.42,0.49,4
1592,2019,英瑞-KY,汽車工業,-3.01,-2.97,314312.08,-681057.0,1156595.0,788941.0,100.02,107.6,0.268,0.376,0.67,0.58,3
1597,2019,直得,電機機械,5.66,16.49,16453505.700000001,265025.0,618283.0,537247.0,248.73,258.08,0.442,1.267,0.4,0.71,3
1598,2019,岱宇,生技醫療業,3.74,2.5,41164781.67,288966.0,1228813.0,1092458.0,92.88,83.21,0.283,0.391,0.82,0.81,6
1603,2019,華電,電器電纜,3.08,1.82,25335172.09,218724.0,776635.0,771745.0,165.91,154.69,0.137,0.175,0.34,0.32,6
1604,2019,聲寶,電器電纜,6.46,5.76,51378276.06,1472696.0,2864426.0,2411202.0,131.68,129.75,0.158,0.288,0.58,0.58,5
1605,2019,華新,電器電纜,3.12,9.47,862541017.0100001,5466663.0,18756735.0,21242797.0,149.2,182.68,0.054,0.227,0.99,1.45,4
1608,2019,華榮,電器電纜,6.32,-4.51,7955700.550000001,713738.0,1064695.0,892959.0,161.59,167.74,0.018,0.09,0.66,0.7,4
1609,2019,大亞,電器電纜,3.91,3.89,60530543.19,718863.0,4514977.0,6174639.0,134.41,181.26,0.078,0.119,0.88,0.95,5
1611,2019,中電,電器電纜,13.22,0.55,27404548.93,112617.0,190297.0,205490.0,215.27,357.84,0.275,0.37,0.4,0.36,6
1612,2019,宏泰,電器電纜,3.71,2.37,-5760756.33,392928.0,239283.0,164886.0,303.61,462.45,0.066,0.169,0.64,0.74,2
1614,2019,三洋電,電器電纜,3.91,3.21,59284904.61,315936.0,421330.0,643174.0,275.32,309.86,0.177,0.309,0.81,0.76,6
1615,2019,大山,電器電纜,9.5,8.4,-93199.6,259390.0,272728.0,140554.0,215.82,196.9,0.116,0.202,1.2,1.41,3
1616,2019,億泰,電器電纜,-1.71,0.6,37720999.56,-36324.0,146721.0,148484.0,154.2,156.76,0.057,0.128,1.09,0.99,4
1617,2019,榮星,電器電纜,3.32,7.01,25716585.05,124716.0,100268.0,121139.0,177.75,176.79,0.11,0.282,1.0,1.1,5
1618,2019,合機,電器電纜,1.54,-0.24,-23957202.4,-39870.0,55097.0,31774.0,546.81,801.33,0.012,0.102,0.62,0.49,3
1626,2019,艾美特-KY,電器電纜,3.78,0.97,145619554.68,645423.0,1033079.0,824315.0,104.29,98.24,0.19,0.273,1.14,1.27,5
1701,2019,中化,生技醫療業,3.76,3.77,32741863.200000003,615395.0,2606898.0,2197235.0,181.35,180.47,0.381,0.616,0.71,0.72,4
1702,2019,南僑,食品工業,5.13,5.41,253917504.00000003,1280485.0,10088019.0,7814398.0,129.47,119.78,0.344,0.551,0.79,0.82,4
1707,2019,葡萄王,生技醫療業,17.75,18.51,217153194.59,2551575.0,1077902.0,444770.0,109.11,88.47,0.815,1.352,0.84,0.89,4
1708,2019,東鹼,化學工業,3.5,4.13,65085589.1,395552.0,4618728.0,4255652.0,92.69,97.21,0.246,0.456,0.35,0.33,4
1709,2019,和益,化學工業,2.04,3.71,93380674.66,368339.0,838330.0,682246.0,146.59,161.87,0.121,0.281,0.78,0.9,3
1710,2019,東聯,化學工業,0.06,7.41,-74728724.58,49012.0,9433400.0,8129538.0,71.02,70.33,0.025,0.315,0.61,0.89,2
1711,2019,永光,化學工業,3.1,3.48,129028172.39999999,658956.0,1502292.0,1873884.0,158.25,161.58,0.224,0.382,0.68,0.7,4
1712,2019,興農,化學工業,4.9,5.24,174187578.13,1114381.0,2698483.0,2661746.0,123.95,134.88,0.263,0.477,1.13,1.2,3
1713,2019,國化,化學工業,3.91,4.71,-432082.62,145211.0,121086.0,125425.0,2729.86,2806.33,0.118,0.23,0.24,0.27,2
1714,2019,和桐,化學工業,2.18,2.53,209917007.20000002,863872.0,3524379.0,2611218.0,208.6,184.73,0.094,0.132,1.12,1.16,4
1717,2019,長興,化學工業,5.23,3.52,494487026.0,3935837.0,16048344.0,18252309.0,190.96,211.74,0.185,0.305,0.74,0.78,5
1718,2019,中纖,化學工業,0.95,1.19,0.0,3720976.0,19433814.0,27484888.0,0.0,0.0,0.0,0.0,0.03,0.03,2
1720,2019,生達,生技醫療業,7.16,6.79,63801440.63999999,660185.0,468527.0,505271.0,199.33,195.49,0.424,0.663,0.59,0.56,7
1721,2019,三晃,化學工業,0.21,0.72,21863950.6,42397.0,911373.0,729203.0,196.23,193.78,0.092,0.122,0.78,0.83,4
1722,2019,台肥,化學工業,2.72,3.01,371795742.54,3175234.0,22888797.0,23636475.0,585.18,694.29,0.198,0.35,0.16,0.16,4
1723,2019,中碳,化學工業,11.03,13.26,154191529.01999998,2265878.0,1478041.0,827260.0,122.01,126.94,0.257,0.448,0.63,0.74,3
1724,2019,台硝,化學工業,2.62,3.45,33709923.9,119021.0,90116.0,87597.0,136.71,113.55,0.126,0.219,0.67,0.69,4
1725,2019,元禎,化學工業,3.74,4.16,38243544.32,278162.0,82823.0,73977.0,251.96,213.62,0.046,0.082,1.58,1.77,4
1726,2019,永記,化學工業,6.89,7.49,41564857.58,903850.0,276021.0,307269.0,613.92,546.73,0.246,0.427,0.76,0.77,5
1727,2019,中華化,化學工業,1.47,4.08,25015635.96,20872.0,22837.0,15348.0,103.82,117.1,0.104,0.254,0.9,1.01,3
1730,2019,花仙子,化學工業,13.38,13.24,55083502.87,673625.0,230021.0,463707.0,209.54,211.45,0.423,0.508,1.23,1.23,5
1731,2019,美吾華,生技醫療業,3.87,3.03,21743185.05,210517.0,315811.0,307605.0,238.05,229.04,0.604,0.937,0.4,0.42,5
1732,2019,毛寶,化學工業,4.3,1.22,3043310.34,27023.0,28143.0,17991.0,331.52,291.21,0.434,0.691,1.0,0.99,6
1733,2019,五鼎,生技醫療業,4.5,3.91,46254296.0,103275.0,516090.0,400023.0,286.14,315.37,0.235,0.434,0.82,0.78,5
1734,2019,杏輝,生技醫療業,-2.19,-1.79,-7951924.64,-248282.0,1557910.0,1565999.0,195.71,238.58,0.379,0.588,0.41,0.37,2
1735,2019,日勝化,化學工業,4.49,0.84,40848230.879999995,172699.0,111261.0,149584.0,140.67,139.68,0.196,0.234,1.07,1.21,6
1736,2019,喬山,生技醫療業,5.68,2.13,94290146.16,863815.0,4647437.0,2355896.0,139.62,134.39,0.498,0.7,1.0,0.95,6
1737,2019,臺鹽,食品工業,4.65,6.21,33074998.740000002,551578.0,704076.0,635275.0,363.8,518.03,0.416,0.703,0.38,0.41,3
1760,2019,寶齡富錦,生技醫療業,8.7,10.33,9098228.0,230078.0,160777.0,62154.0,314.0,320.0,0.556,0.82,0.8,0.91,3
1762,2019,中化生,生技醫療業,3.77,7.28,26809387.22,175898.0,847293.0,811825.0,119.28,144.18,0.368,0.47,0.34,0.3,4
1773,2019,勝一,化學工業,13.58,15.76,114606936.36,1201411.0,164193.0,134064.0,117.44,223.32,0.258,0.467,1.15,1.36,3
